comuna,nombre_campamento,anio_llegada,situacion_habitacional_anterior,tipo_vivienda,tiene_electricidad,fuente_agua,tiene_saneamiento,coord_x,coord_y,geometry,antiguedad_hogar
13201,1320105,2022.0,Propietario y sin deuda,3.0,No informado,No informado,No informado,-70.5487052625137,-33.6072466592852,POINT (-70.5487052625137 -33.6072466592852),2.0
13201,1320105,2023.0,Allegado,3.0,No informado,No informado,No informado,-70.5487298847172,-33.6071948408897,POINT (-70.5487298847172 -33.6071948408897),1.0
13201,1320105,2022.0,Propietario y sin deuda,3.0,No informado,Camión aljibe,No informado,-70.5487542659781,-33.6071871187009,POINT (-70.5487542659781 -33.6071871187009),2.0
13201,1320105,2022.0,Allegado,3.0,No informado,No informado,No informado,-70.5487242607286,-33.607252900429,POINT (-70.5487242607286 -33.607252900429),2.0
13201,1320105,2020.0,Allegado,1.0,No informado,Camión aljibe,No informado,-70.5493507825211,-33.6073501403894,POINT (-70.5493507825211 -33.6073501403894),4.0
13201,1320105,2020.0,Allegado,1.0,No informado,Camión aljibe,No informado,-70.5496433333333,-33.60694,POINT (-70.5496433333333 -33.60694),4.0
13201,1320105,2020.0,Propietario y pagando dividendo,1.0,No informado,Camión aljibe,No informado,-70.5490892983285,-33.6077705722549,POINT (-70.5490892983285 -33.6077705722549),4.0
13201,1320105,2023.0,Allegado,3.0,No informado,No informado,No informado,-70.5487298847172,-33.6071948408897,POINT (-70.5487298847172 -33.6071948408897),1.0
13201,1320105,2023.0,Propietario y pagando dividendo,3.0,No informado,Camión aljibe,No informado,-70.5487168415562,-33.6072590001856,POINT (-70.5487168415562 -33.6072590001856),1.0
13201,1320105,2023.0,Allegado,3.0,No informado,No informado,No informado,-70.5487298847172,-33.6071948408897,POINT (-70.5487298847172 -33.6071948408897),1.0
13201,1320105,2022.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5486997204457,-33.6072483056679,POINT (-70.5486997204457 -33.6072483056679),2.0
13201,1320105,2022.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5486997204457,-33.6072483056679,POINT (-70.5486997204457 -33.6072483056679),2.0
13201,1320105,2022.0,Propietario y sin deuda,3.0,No informado,No informado,No informado,-70.5487052625137,-33.6072466592852,POINT (-70.5487052625137 -33.6072466592852),2.0
13201,1320111,2022.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5500428460279,-33.6062670648581,POINT (-70.5500428460279 -33.6062670648581),2.0
13201,1320105,2022.0,Propietario y pagando dividendo,3.0,No informado,Camión aljibe,No informado,-70.5490006505894,-33.6075217397468,POINT (-70.5490006505894 -33.6075217397468),2.0
13201,1320105,2021.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5489618910448,-33.6073496743946,POINT (-70.5489618910448 -33.6073496743946),3.0
13201,1320105,2021.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5495646125585,-33.6070071725841,POINT (-70.5495646125585 -33.6070071725841),3.0
13201,1320105,2022.0,Propietario y sin deuda,3.0,No informado,Camión aljibe,No informado,-70.5495696066583,-33.6069997111256,POINT (-70.5495696066583 -33.6069997111256),2.0
13201,1320111,2021.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.550491220314,-33.6063078752791,POINT (-70.550491220314 -33.6063078752791),3.0
13201,1320111,2018.0,No informado,3.0,No informado,Camión aljibe,No informado,-70.5504017910295,-33.6062877473086,POINT (-70.5504017910295 -33.6062877473086),6.0
13201,1320111,2016.0,No informado,4.0,No informado,Camión aljibe,No informado,-70.5502386804643,-33.6062944965523,POINT (-70.5502386804643 -33.6062944965523),8.0
13201,1320111,2019.0,Propietario y sin deuda,4.0,No informado,Camión aljibe,No informado,-70.5502372898803,-33.6062866440806,POINT (-70.5502372898803 -33.6062866440806),5.0
13201,1320111,2022.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5501543289689,-33.6062693990322,POINT (-70.5501543289689 -33.6062693990322),2.0
13201,1320111,2020.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5500925999732,-33.6062711032801,POINT (-70.5500925999732 -33.6062711032801),4.0
13201,1320111,2020.0,Propietario y pagando dividendo,3.0,No informado,Camión aljibe,No informado,-70.5499770851382,-33.606261020844,POINT (-70.5499770851382 -33.606261020844),4.0
13201,1320111,2020.0,Propietario y pagando dividendo,3.0,No informado,Camión aljibe,No informado,-70.5498918938812,-33.6062091796703,POINT (-70.5498918938812 -33.6062091796703),4.0
13201,1320111,2023.0,Propietario y sin deuda,4.0,No informado,Camión aljibe,No informado,-70.5498801633458,-33.6062347978552,POINT (-70.5498801633458 -33.6062347978552),1.0
13201,1320111,2020.0,Propietario y sin deuda,3.0,No informado,Camión aljibe,No informado,-70.5510520302921,-33.6066080280856,POINT (-70.5510520302921 -33.6066080280856),4.0
13201,1320111,2020.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5499342052336,-33.6062582295389,POINT (-70.5499342052336 -33.6062582295389),4.0
13201,1320111,2020.0,Allegado,3.0,No informado,Camión aljibe,No informado,-70.5499301126535,-33.6062966449961,POINT (-70.5499301126535 -33.6062966449961),4.0
